SubjID,SmlSeq,SmlK,SmlCons,SmlICR,MedSeq,MedK,MedCons,MedICR,LrgSeq,LrgK,LrgCons,LrgICR,GMK
s0194,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.007168669980310297
s0195,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,505,0.001599001,1,0.333333333,0.0011695599640162246
s0196,449,0.025565085,1,0.666666667,465,0.009926078,0.888888889,0.555555556,481,0.00978133,1,0.555555556,0.013539655424191877
s0197,385,0.065125822,1,0.777777778,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.01352193319154529
s0198,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
s0199,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,481,0.00978133,1,0.555555556,0.01847675990484034
s0200,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.01345472877351011
s0201,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,449,0.025796554,1,0.666666667,0.02552782085037716
s0203,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.009741894186056553
s0204,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
