,NU,PU,PM,PS,SS,Attentional,Motor,Nonplanning,discount_logk,auc,std_wtw,auc_delta,alpha,alphaU,tau,gamma,eta
132,17.0,15.0,11.0,12.0,16.0,17.0,15.0,21.0,-4.303442231048738,8.059753343760478,2.438598644551541,3.7579859527927195,0.0192196983519702,0.0017237722258395501,5.74161225526986,0.8637677974207005,1.40678897048316
133,28.0,19.0,20.0,20.0,32.0,17.0,22.0,30.0,-4.615140087212151,4.058318361842259,1.849356597197068,-0.8271557502036135,0.0184302894509858,0.00093011360207465,3.254913367165085,0.845733422368447,0.8072950044147296
134,14.0,15.0,13.0,11.0,26.0,9.0,17.0,18.0,-3.9912415579653286,4.661162113840939,1.2530737115415045,0.30302990159367216,0.0208821124721224,0.00036092225685910003,4.232487210127865,0.8819842226055625,1.120517156631466
135,25.0,18.0,17.0,11.0,43.0,12.0,18.0,23.0,-3.667986407800441,7.886831724377695,1.1802150689996467,3.626234329022389,0.0284616292199739,0.00230761064484355,8.656494720856895,0.8287267988459366,0.871821240812662
136,16.0,16.0,16.0,13.0,31.0,13.0,23.0,20.0,-4.6313197052810295,5.38094921042456,1.9864531505050949,0.5827374161125523,0.004538299489191849,0.000528206761841,4.57872209972171,0.9332567725372896,1.0105871037619885
137,20.0,15.0,17.0,14.0,19.0,14.0,20.0,16.0,-8.751473627018223,7.757386189653869,2.5594007527449865,1.7905563021151116,0.0077685345430479995,0.0020664485021746498,5.61149740080657,0.8893631836211765,1.320884961099915
138,22.5,24.0,16.0,18.0,23.0,12.0,17.5,21.5,-5.843183933651558,5.986100714995626,1.7853517958822316,1.612287535690884,0.0083420447510763,0.0010146317993562,5.362465737495755,0.9043712839330705,0.9938711364266131
139,17.5,20.0,12.5,11.0,40.0,17.0,21.0,17.5,-7.368356384687963,7.815645975705026,2.3279303301403074,0.7886810061102765,0.0043378739713517,0.0658828416816263,5.15151661942717,0.7289124065644415,9.364237680095119
140,14.5,18.5,12.5,10.0,18.5,12.0,18.5,19.0,-8.751473627018223,6.718701407177521,2.1357695363221447,0.3183932179589304,0.0051771435042531,0.00117008447340695,5.4839763497633705,0.9445066161502935,1.447958491644855
141,30.0,33.5,27.5,23.5,28.0,19.5,27.0,26.0,-1.885467476288139,5.906308617623325,3.1247596390491355,2.363180362235421,0.00603259276743125,0.0008844030521096501,3.59858917362212,0.909071915635276,3.29751467056868
142,21.5,19.0,17.0,14.0,25.5,9.5,17.0,20.0,-6.151556025910516,11.431705426763516,1.983368303194045,0.21815926412002185,0.006653507163123049,0.0119345323889005,6.912285602926035,0.7645280189656336,2.46140206852621
143,19.0,14.5,22.0,20.5,21.0,11.0,16.5,27.0,-7.981565513194658,5.949297045104883,1.29704792002422,1.9654821732503578,0.0181061286388487,0.0010259233866699,7.277905517085585,0.8194437305138165,0.608120829801969
144,12.5,15.0,12.5,12.0,24.5,8.0,15.0,17.0,-8.597399349069823,4.829381669860343,2.2016704111100576,2.8027108913774947,0.0280692995078422,0.00027774301420685,4.411854697231989,0.8715201890194085,0.9936824136849715
145,31.0,24.5,16.5,14.0,35.5,16.0,21.5,22.0,-3.9939841774264733,7.176111215901582,2.395787015074451,1.307621266962232,0.00936116850118185,0.00335084755922965,5.4962023387860395,0.912598329218252,1.635145900788653
146,30.0,16.0,22.5,14.0,40.5,13.0,21.0,21.0,-3.0475578705002144,9.04259446609031,2.717284196214563,1.262728566053112,0.00716091546113035,0.0063286743353034,5.660858677566305,0.802447105777315,1.6862794762056001
147,21.5,23.5,22.0,18.0,21.0,13.0,17.5,26.5,-5.6851787483776555,3.446364194367021,1.8257938510146965,1.1749365831795318,0.013033274569847451,0.001485691415592,3.3282398737249,0.8949478490393995,1.0283858576245684
148,22.0,15.0,12.0,14.0,28.5,15.5,18.0,30.5,-5.391293624107687,3.8046494324021403,1.503481103554936,1.0432935805638839,0.2069095555555527,0.026326386823381998,3.6033189045171854,0.788437380609431,0.683708403220719
149,20.5,28.5,26.0,18.0,34.5,10.5,20.0,22.0,-5.072426643404723,7.006098616626694,3.0996923048200187,0.9664241744718138,0.00264616805689965,0.0011821283570571,4.12516212332447,0.9127483734319755,2.2993715610902052
150,22.0,14.5,17.0,14.5,27.5,13.0,15.5,16.0,-7.981782635299934,3.42747098238328,1.2304092970237543,0.816814135344073,0.0139013706293697,0.00043829097892940003,4.1518705712696455,0.8564890729092325,0.49601672021286103
151,19.0,20.0,13.0,13.0,20.0,12.0,23.0,22.5,-6.7613440184402,5.828925706328144,1.6457346266874944,-0.7587546526525384,0.0028503799778339996,0.0014561270404531501,5.67519700839491,0.9882199348694545,0.9421226949945449
152,12.5,14.0,12.5,14.5,20.5,11.5,13.0,23.5,-8.751473627018223,7.423537984627494,2.5515116015206347,6.255278684951454,0.040501040185813596,0.0008620884605684,5.64043442799894,0.8512256440185699,1.5086170931397076
153,32.5,28.0,21.5,22.0,24.5,21.0,20.5,29.5,-6.917416878468177,5.850341830481772,3.2911727140020064,-0.24083104126856147,0.00400258963955955,0.00107797984264755,3.448115900413985,0.857028660609657,4.707504088869145
154,17.5,14.0,16.5,17.0,13.5,10.5,17.0,24.5,-6.86752228696692,11.665897609978991,1.7084888876858666,-0.006150086164467439,0.010881860685565,0.041773380870235244,7.71188421429293,0.681544892561348,3.5356585652952353
155,29.5,15.0,13.5,20.5,13.0,12.5,26.5,24.5,-8.751473627018223,5.670544573117125,1.4715145105675593,2.2336399013847967,0.00934466891331525,0.00045270727100525003,6.131482959235475,0.9213678834462995,0.937182180060218
156,30.5,26.0,13.0,22.5,16.0,18.0,18.5,27.0,-4.149833105508179,6.2803895788440744,3.058772585901191,-0.4632606592415467,0.01053737976409275,0.0042011891953463495,4.266788461053141,0.9147805295480125,1.705174982063645
157,16.0,18.0,16.5,12.0,17.5,12.0,16.5,20.0,-2.590927052023999,7.887996363720956,2.858794124890542,3.433830118083802,0.008100825379746851,0.00228929414486075,4.74613668003421,0.855466749938308,1.89347423610867
158,22.0,17.0,16.5,18.0,28.0,17.0,20.0,23.5,-4.615140087212151,5.072227356141195,1.7545686921392347,5.035360810293716,0.0598642722670028,0.00170716897868585,4.449482646856265,0.8496559688418885,0.9950352914610605
159,13.5,14.5,18.5,11.5,39.0,8.5,16.0,16.0,-4.782244365973687,2.597455180041665,1.1576647581446644,0.21134992801857921,0.03092800959180795,0.0018694766364897501,3.731923959117085,0.8274268779874916,0.3118454732368505
160,41.5,48.0,25.0,22.5,18.5,22.5,21.0,25.5,-4.149833105508179,3.4477275396478424,1.6834176861231758,-0.43215305182578034,0.00221296084834825,0.0014062033814811,3.371304747583855,0.909059234690753,0.6547737036673564
161,23.0,17.0,11.5,22.0,19.0,16.0,21.0,23.5,-4.925079297476294,9.647565570368085,1.9184343451193677,3.004279466288109,0.0205622930626016,0.0034160871534961,6.59789733708693,0.8212880917521039,1.5857759741385151
162,20.0,22.0,17.5,11.5,21.0,13.0,21.5,20.0,-6.912750075332678,3.7986603757658552,2.187431346826242,1.3024427255986057,0.0327804095674436,0.00087457825878955,3.180070099125795,0.8283138486546475,0.8878599694433196
163,34.0,34.0,18.5,28.5,32.5,20.5,19.0,24.5,-4.149833105508179,11.448412200753776,1.2905869045815683,-0.5081868029742411,0.0015703477534712998,0.00659111443722745,6.498312143879495,0.859049871962841,3.8648437365582904
164,23.0,15.0,13.0,14.0,22.0,11.5,18.5,27.0,-4.76643106992111,6.063833668898664,2.308500125000971,3.826275036502349,0.01372886150826045,0.0007423003582159001,4.57581891911832,0.8923697705497475,1.214654304548955
