id,sess,key,block,auc,std_wtw,init_wtw,sell_RT_median,sell_RT_mean,sell_RT_se,condition,auc1,auc2,auc3,std_wtw1,std_wtw2,std_wtw3
s1215,2,"('s1215', 2)",1,6.454640607565778,2.3727568857120453,12.0,0.4135,0.41545833333333326,0.006798662538109888,LP,8.828181318681319,5.239088675213675,5.309823232323231,2.5855087281485494,0.9606965430904484,0.8857476919550475
s1215,2,"('s1215', 2)",2,9.400874824739935,3.83423285030955,10.5,0.41,0.4353275862068966,0.014095001853420936,HP,11.4866,12.0,5.9553421516754845,1.0268,0.0,3.9143903905775432
s1216,2,"('s1216', 2)",1,2.392889465450728,0.9560403508737311,3.277,0.462,0.4801408450704227,0.018968702187443308,LP,2.729040115440115,2.6803099099099104,1.8241046176046176,1.0924316214083156,0.9229239246127033,0.5982636297896091
s1216,2,"('s1216', 2)",2,10.632637502433958,3.2459382028422947,0.983,0.5045,0.5468548387096775,0.0266303446929874,HP,8.519014137931038,12.0,12.0,4.391566978936991,0.0,0.0
s1217,2,"('s1217', 2)",1,1.9343713566507685,0.7407252868604541,8.265,0.443,0.5065362318840578,0.044473949572693385,LP,2.2900510510510514,1.7754945002391198,1.7569386363636363,1.1722020013326735,0.2936138527755934,0.27960806447481557
s1217,2,"('s1217', 2)",2,3.9751402803308826,1.678247449880766,1.993,0.641,0.7479655172413793,0.08422199704699548,HP,4.246561546840959,3.612998979591837,4.461989898989899,2.481110994768591,0.4782260960869352,2.325516034814811
s1218,2,"('s1218', 2)",1,4.439358528428094,1.4947297854990504,7.733,0.468,0.5103835616438358,0.020980798217420497,LP,5.094673913043479,4.967642857142857,3.4400000000000004,0.8926038681332428,2.252493272770765,0.3811998600909151
s1218,2,"('s1218', 2)",2,6.342103997990237,2.183057419364637,1.09,0.457,0.5960249999999999,0.06123697297691159,HP,5.346082140179911,7.776909090909092,6.603822222222222,2.6640914094617956,2.045582773354486,0.6513048198770386
s1219,2,"('s1219', 2)",1,9.704837973319512,3.085303166917483,12.0,0.483,0.5597424242424243,0.022405790018591984,LP,9.773824832775917,9.029043386243385,10.47696923076923,2.9970880557995128,2.289680538984511,3.6770951117140998
s1219,2,"('s1219', 2)",2,11.282307701492538,1.5603589463833643,9.0,0.482,0.5406065573770492,0.03022266448160925,HP,11.02037037037037,11.50430434782609,11.5028,0.8369323238336783,2.325018699032474,0.9944000000000002
s1220,2,"('s1220', 2)",1,5.960984893727547,2.801320726501223,12.0,0.383,0.40069863013698614,0.017558413193447635,LP,8.21674074074074,4.876785714285714,4.585631231671554,3.6123558657804753,0.7218938608198749,1.0113352956787276
s1220,2,"('s1220', 2)",2,9.518047548258869,1.8033625343174937,9.181,0.402,0.4553272727272728,0.01833811105470915,HP,10.073066666666666,9.575203921568628,9.230576470588234,1.3522794320044298,2.149313588007219,2.0080887901809246
